cache-misses,cache-references,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-store-misses,L1-dcache-stores,label
29929,4852410,85040,4938053,71272,1088324,np
489,4387213,102486,6274401,52695,0,pd
8498,4702184,122460,6693313,84156,341877,pd
7435,5029947,125736,6325868,66501,0,pd
20354,5326479,97455,4890812,37190,219124,pd
24934,6002114,112466,4725688,18823,0,np
53258,6456190,111053,1770440,0,0,np
4014,3268397,102608,6080726,58990,0,np
25105,5314521,100817,4925516,54951,453662,pd
863,4893883,118487,6704222,63263,0,np
23410,6376787,106418,4812689,0,0,np
50212,6468407,108777,1874601,0,0,np
4592,5155864,104392,6115960,43010,0,np
37045,5502540,117526,4019696,48265,139929,np
4561,4372638,105098,6149146,57481,0,np
32064,6370463,109419,4175063,0,0,np
45735,6324459,117420,2966464,10128,0,pd
7334,5238812,99448,5608081,36203,0,np
52720,5851399,98160,1440086,11134,0,np
12414,5243983,109414,5283159,44943,0,pd
40097,5104206,88454,4829485,63995,943566,np
7112,5220748,110948,5903001,47306,0,np
35651,6329694,103796,3927607,0,0,pd
13876,5232289,114464,5464200,49171,0,pd
41681,6457665,113068,3427769,0,0,np
3008,4612417,102860,6280231,56596,158087,np
21958,5373537,108686,4948088,39345,0,pd
2846,4168817,122800,6667735,73729,0,np
32104,6209675,109785,4188462,7503,0,np
31618,5744889,108285,4206381,24851,0,np
44847,6112689,125782,4038418,37960,318585,pd
33059,6307377,107029,4079177,0,0,pd
21115,6612294,119028,5133136,0,0,pd
13124,5244810,110118,5552341,55282,206454,pd
36142,6225716,102696,3726686,0,0,pd
43321,5820297,100842,3094648,18757,128281,pd
21850,5316062,110511,4986286,42650,0,np
9196,5072304,108900,5540707,49315,0,np
47676,6116670,103992,2332766,5162,0,pd
44721,6269340,105029,3076807,0,0,pd
31244,6451219,111075,4312921,0,0,np
44299,6285300,105572,2875783,0,0,pd
9791,5216450,106370,5375604,42399,0,np
39444,2859743,112884,3554410,72584,1653783,np
4122,3384326,112173,6284642,66962,0,np
52403,6452182,110541,1764832,0,0,np
6403,4971866,111656,6141792,54251,0,pd
41822,6413282,108263,3428871,0,0,pd
31956,5960001,141688,5009624,47128,0,np
8574,4021421,109627,5711983,62359,0,np
15778,4975618,116791,5384065,59418,0,pd
18184,5220168,112630,5052088,47865,0,pd
6702,5082932,88197,6473292,71079,1087560,pd
34451,6780770,119111,4407690,0,0,pd
25949,5896244,112896,4755265,23543,0,np
32938,5469624,96131,3849458,22974,0,pd
7587,4856569,117606,6024585,60579,0,pd
34663,6457418,145466,4894645,33843,0,np
